Year,Quarter,Canada_D,Europe_D,Japan_D,US_D,China_D,Soviet_D,Asia_D,Other_D,Total_World_D,Canada_S,Mexico_S,North_Sea_S,Other_S,US_S,China_S,Soviet_S,Other_S,OPEC_S,Total_World_S,OPEC_Crude_Oil_Portion,OPEC_Non_Crude_Portion,Total_OPEC,Brent_Crude_Price,Latin_America_Rigs,Europe_Rigs,Africa_Rigs,Middle_East_Rigs,Asia_Pacific_Rigs,Total_Intl_Rigs,Canada_Rigs,US_Rigs
2019,Q3,2.57,15.44,3.43,20.88,14.37,5.58,13.74,26.24,102.25,5.47,1.93,2.96,4.64,19.45,4.89,14.58,15.33,33.88,100.17,28.65,5.24,33.88,61.95,195,190,114,422,224,1144,132,920
2019,Q2,2.32,14.95,3.39,20.63,14.65,5.19,14.11,25.77,101,5.47,1.91,2.96,4.59,19.35,4.92,14.43,14.88,34.91,100.49,29.48,5.44,34.91,69.04,186,159,122,412,230,1109,83,989
2019,Q1,2.31,14.82,4.06,20.55,14.46,5.15,13.95,25.22,100.49,5.43,1.91,2.96,4.85,18.86,4.89,14.86,14.12,35.39,100.34,29.95,5.44,35.39,63.1,188,92,116,398,235,1030,186,1046
2018,Q4,2.58,14.93,3.89,20.75,14.1,5.36,13.82,25.29,100.73,5.62,1.95,2.95,4.89,19.03,4.81,14.88,14.49,36.74,102.42,31.42,5.32,36.74,68.76,193,90,106,397,225,1011,177,1072
2018,Q3,2.65,15.47,3.53,20.86,13.88,5.5,13.48,25.88,101.25,5.41,2.09,2.84,4.65,18.44,4.73,14.63,14.81,36.81,101.57,31.5,5.32,36.81,75.07,191,84,104,399,225,1003,208,1051
2018,Q2,2.44,15.04,3.42,20.51,14.14,5.12,13.95,25.65,100.26,5.15,2.13,2.99,4.7,17.43,4.8,14.43,14.75,36.54,99.93,31.27,5.27,36.54,74.53,181,82,94,397,214,968,106,1038
2018,Q1,2.42,14.9,4.33,20.5,13.95,5.07,13.78,25.03,99.98,5.35,2.17,3.05,4.89,16.82,4.76,14.43,14.07,36.93,99.43,31.59,5.34,36.93,66.86,194,86,86,392,212,970,273,965
2017,Q4,2.54,15.27,4.11,20.35,13.71,4.88,13.36,25.56,99.78,5.19,2.15,3.06,4.71,16.51,4.76,14.34,14.54,36.93,99.12,31.65,5.28,36.93,61.4,184,88,82,380,214,949,204,921
2017,Q3,2.54,15.6,3.68,20.15,13.39,5,13.04,26.02,99.43,5,2.18,2.94,4.69,15.59,4.76,14.24,14.91,37.27,98.64,32.01,5.26,37.27,52.1,188,88,84,394,193,947,208,947
2017,Q2,2.38,15.14,3.63,20.22,13.82,4.76,13.33,25.72,98.97,4.61,2.33,3.14,4.81,15.42,4.84,14.32,14.58,36.7,97.6,31.38,5.33,36.7,49.55,188,92,86,392,199,958,114,892
2017,Q1,2.39,14.66,4.33,19.65,13.36,4.52,13.04,25.15,97.12,5.06,2.34,3.25,4.96,15.1,4.78,14.44,14.17,36.43,97.29,31.11,5.32,36.43,53.59,180,100,79,383,197,939,299,739
2016,Q4,2.48,14.93,4.17,19.91,13.16,4.77,12.69,25.26,97.37,4.96,2.39,3.23,5.06,14.84,4.79,14.54,14.7,37.52,98.79,32.21,5.31,37.52,49.05,183,94,78,382,187,925,179,586
2016,Q3,2.55,15.19,3.78,20.08,12.85,4.82,12.38,25.68,97.31,4.7,2.48,2.98,4.81,14.65,4.82,13.93,15.01,37,97.39,31.74,5.25,37,45.8,187,94,80,385,190,936,121,480
