Year,Quarter,Rigs,Country,Lat,LON
2019,Q3,195,Latin America,-8.595812,-61.257636
2019,Q2,186,Latin America,-8.595812,-61.257636
2019,Q1,188,Latin America,-8.595812,-61.257636
2018,Q4,193,Latin America,-8.595812,-61.257636
2018,Q3,191,Latin America,-8.595812,-61.257636
2018,Q2,181,Latin America,-8.595812,-61.257636
2018,Q1,194,Latin America,-8.595812,-61.257636
2017,Q4,184,Latin America,-8.595812,-61.257636
2017,Q3,188,Latin America,-8.595812,-61.257636
2017,Q2,188,Latin America,-8.595812,-61.257636
2017,Q1,180,Latin America,-8.595812,-61.257636
2016,Q4,183,Latin America,-8.595812,-61.257636
2016,Q3,187,Latin America,-8.595812,-61.257636
2016,Q2,190,Latin America,-8.595812,-61.257636
2016,Q1,233,Latin America,-8.595812,-61.257636
2015,Q4,283,Latin America,-8.595812,-61.257636
2015,Q3,318,Latin America,-8.595812,-61.257636
2015,Q2,322,Latin America,-8.595812,-61.257636
2015,Q1,352,Latin America,-8.595812,-61.257636
2014,Q4,379,Latin America,-8.595812,-61.257636
2014,Q3,406,Latin America,-8.595812,-61.257636
2014,Q2,402,Latin America,-8.595812,-61.257636
2014,Q1,402,Latin America,-8.595812,-61.257636
2013,Q4,416,Latin America,-8.595812,-61.257636
2013,Q3,407,Latin America,-8.595812,-61.257636
2013,Q2,425,Latin America,-8.595812,-61.257636
2013,Q1,426,Latin America,-8.595812,-61.257636
2012,Q4,408,Latin America,-8.595812,-61.257636
2012,Q3,414,Latin America,-8.595812,-61.257636
2012,Q2,438,Latin America,-8.595812,-61.257636
2012,Q1,432,Latin America,-8.595812,-61.257636
2011,Q4,433,Latin America,-8.595812,-61.257636
2011,Q3,437,Latin America,-8.595812,-61.257636
2011,Q2,417,Latin America,-8.595812,-61.257636
2011,Q1,410,Latin America,-8.595812,-61.257636
2010,Q4,385,Latin America,-8.595812,-61.257636
2010,Q3,385,Latin America,-8.595812,-61.257636
2010,Q2,384,Latin America,-8.595812,-61.257636
2010,Q1,378,Latin America,-8.595812,-61.257636
2009,Q4,355,Latin America,-8.595812,-61.257636
2009,Q3,350,Latin America,-8.595812,-61.257636
2009,Q2,350,Latin America,-8.595812,-61.257636
2009,Q1,371,Latin America,-8.595812,-61.257636
2008,Q4,396,Latin America,-8.595812,-61.257636
2008,Q3,386,Latin America,-8.595812,-61.257636
2008,Q2,382,Latin America,-8.595812,-61.257636
2008,Q1,373,Latin America,-8.595812,-61.257636
2007,Q4,355,Latin America,-8.595812,-61.257636
2007,Q3,357,Latin America,-8.595812,-61.257636
2007,Q2,355,Latin America,-8.595812,-61.257636
2007,Q1,353,Latin America,-8.595812,-61.257636
2006,Q4,326,Latin America,-8.595812,-61.257636
2006,Q3,327,Latin America,-8.595812,-61.257636
2006,Q2,329,Latin America,-8.595812,-61.257636
2006,Q1,313,Latin America,-8.595812,-61.257636
2005,Q4,313,Latin America,-8.595812,-61.257636
2005,Q3,311,Latin America,-8.595812,-61.257636
2005,Q2,326,Latin America,-8.595812,-61.257636
2005,Q1,313,Latin America,-8.595812,-61.257636
2004,Q4,306,Latin America,-8.595812,-61.257636
2004,Q3,292,Latin America,-8.595812,-61.257636
2004,Q2,290,Latin America,-8.595812,-61.257636
2004,Q1,273,Latin America,-8.595812,-61.257636
2003,Q4,266,Latin America,-8.595812,-61.257636
2003,Q3,253,Latin America,-8.595812,-61.257636
2003,Q2,240,Latin America,-8.595812,-61.257636
2003,Q1,217,Latin America,-8.595812,-61.257636
2002,Q4,220,Latin America,-8.595812,-61.257636
2002,Q3,204,Latin America,-8.595812,-61.257636
2002,Q2,205,Latin America,-8.595812,-61.257636
2002,Q1,225,Latin America,-8.595812,-61.257636
2001,Q4,253,Latin America,-8.595812,-61.257636
2001,Q3,264,Latin America,-8.595812,-61.257636
2001,Q2,268,Latin America,-8.595812,-61.257636
2001,Q1,261,Latin America,-8.595812,-61.257636
2000,Q4,260,Latin America,-8.595812,-61.257636
2000,Q3,247,Latin America,-8.595812,-61.257636
2000,Q2,213,Latin America,-8.595812,-61.257636
2000,Q1,189,Latin America,-8.595812,-61.257636
1999,Q4,197,Latin America,-8.595812,-61.257636
1999,Q3,184,Latin America,-8.595812,-61.257636
1999,Q2,185,Latin America,-8.595812,-61.257636
1999,Q1,180,Latin America,-8.595812,-61.257636
1998,Q4,211,Latin America,-8.595812,-61.257636
1998,Q3,229,Latin America,-8.595812,-61.257636
1998,Q2,261,Latin America,-8.595812,-61.257636
1998,Q1,272,Latin America,-8.595812,-61.257636
1997,Q4,280,Latin America,-8.595812,-61.257636
1997,Q3,270,Latin America,-8.595812,-61.257636
1997,Q2,277,Latin America,-8.595812,-61.257636
1997,Q1,280,Latin America,-8.595812,-61.257636
1996,Q4,281,Latin America,-8.595812,-61.257636
1996,Q3,282,Latin America,-8.595812,-61.257636
1996,Q2,286,Latin America,-8.595812,-61.257636
1996,Q1,281,Latin America,-8.595812,-61.257636
1995,Q4,272,Latin America,-8.595812,-61.257636
1995,Q3,278,Latin America,-8.595812,-61.257636
1995,Q2,270,Latin America,-8.595812,-61.257636
1995,Q1,266,Latin America,-8.595812,-61.257636
1994,Q4,253,Latin America,-8.595812,-61.257636
1994,Q3,238,Latin America,-8.595812,-61.257636
1994,Q2,232,Latin America,-8.595812,-61.257636
1994,Q1,209,Latin America,-8.595812,-61.257636
2019,Q3,190,Europe,52.658645,31.481963
2019,Q2,159,Europe,52.658645,31.481963
2019,Q1,92,Europe,52.658645,31.481963
2018,Q4,90,Europe,52.658645,31.481963
2018,Q3,84,Europe,52.658645,31.481963
2018,Q2,82,Europe,52.658645,31.481963
2018,Q1,86,Europe,52.658645,31.481963
2017,Q4,88,Europe,52.658645,31.481963
2017,Q3,88,Europe,52.658645,31.481963
2017,Q2,92,Europe,52.658645,31.481963
2017,Q1,100,Europe,52.658645,31.481963
2016,Q4,94,Europe,52.658645,31.481963
2016,Q3,94,Europe,52.658645,31.481963
2016,Q2,92,Europe,52.658645,31.481963
2016,Q1,104,Europe,52.658645,31.481963
2015,Q4,110,Europe,52.658645,31.481963
2015,Q3,109,Europe,52.658645,31.481963
2015,Q2,116,Europe,52.658645,31.481963
2015,Q1,132,Europe,52.658645,31.481963
2014,Q4,148,Europe,52.658645,31.481963
2014,Q3,148,Europe,52.658645,31.481963
2014,Q2,149,Europe,52.658645,31.481963
2014,Q1,135,Europe,52.658645,31.481963
2013,Q4,133,Europe,52.658645,31.481963
2013,Q3,140,Europe,52.658645,31.481963
2013,Q2,133,Europe,52.658645,31.481963
2013,Q1,134,Europe,52.658645,31.481963
2012,Q4,129,Europe,52.658645,31.481963
2012,Q3,117,Europe,52.658645,31.481963
2012,Q2,117,Europe,52.658645,31.481963
2012,Q1,112,Europe,52.658645,31.481963
2011,Q4,119,Europe,52.658645,31.481963
2011,Q3,123,Europe,52.658645,31.481963
2011,Q2,112,Europe,52.658645,31.481963
2011,Q1,118,Europe,52.658645,31.481963
2010,Q4,100,Europe,52.658645,31.481963
2010,Q3,92,Europe,52.658645,31.481963
2010,Q2,96,Europe,52.658645,31.481963
2010,Q1,88,Europe,52.658645,31.481963
2009,Q4,85,Europe,52.658645,31.481963
2009,Q3,78,Europe,52.658645,31.481963
2009,Q2,82,Europe,52.658645,31.481963
2009,Q1,90,Europe,52.658645,31.481963
2008,Q4,103,Europe,52.658645,31.481963
2008,Q3,101,Europe,52.658645,31.481963
2008,Q2,97,Europe,52.658645,31.481963
2008,Q1,91,Europe,52.658645,31.481963
2007,Q4,77,Europe,52.658645,31.481963
2007,Q3,79,Europe,52.658645,31.481963
2007,Q2,80,Europe,52.658645,31.481963
2007,Q1,75,Europe,52.658645,31.481963
2006,Q4,70,Europe,52.658645,31.481963
2006,Q3,76,Europe,52.658645,31.481963
2006,Q2,82,Europe,52.658645,31.481963
2006,Q1,82,Europe,52.658645,31.481963
2005,Q4,73,Europe,52.658645,31.481963
2005,Q3,74,Europe,52.658645,31.481963
2005,Q2,72,Europe,52.658645,31.481963
2005,Q1,61,Europe,52.658645,31.481963
2004,Q4,67,Europe,52.658645,31.481963
2004,Q3,62,Europe,52.658645,31.481963
2004,Q2,76,Europe,52.658645,31.481963
2004,Q1,74,Europe,52.658645,31.481963
2003,Q4,80,Europe,52.658645,31.481963
2003,Q3,88,Europe,52.658645,31.481963
2003,Q2,83,Europe,52.658645,31.481963
2003,Q1,82,Europe,52.658645,31.481963
2002,Q4,85,Europe,52.658645,31.481963
2002,Q3,79,Europe,52.658645,31.481963
2002,Q2,94,Europe,52.658645,31.481963
2002,Q1,94,Europe,52.658645,31.481963
2001,Q4,100,Europe,52.658645,31.481963
2001,Q3,96,Europe,52.658645,31.481963
2001,Q2,95,Europe,52.658645,31.481963
2001,Q1,89,Europe,52.658645,31.481963
2000,Q4,88,Europe,52.658645,31.481963
2000,Q3,90,Europe,52.658645,31.481963
2000,Q2,82,Europe,52.658645,31.481963
